department,semester,gender,hostel_or_dayscholar,study_time_preference,learning_style,sleep_quality,stress_level,internet_access_quality,part_time_job,mentor_support,placement_status,study_minutes_per_day,material_prep_minutes_per_week,extracurricular_minutes_per_week,skill_dev_minutes_per_week,attendance_percentage,previous_year_score,previous_semester_gpa,backlogs_count,internal_marks,projects_completed,hackathons_participated,internships_completed,certifications_count,coding_problems_solved,coding_platform_rating
CSE,1,Male,Day Scholar,Night,Auditory,Good,Low,Average,No,Yes,Not Started,210,280,36,122,94.0,71.7,6.79,0,33,1,0,0,2.0,88,1012
CSE,1,Male,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,156,239,25,253,83.7,70.5,7.73,1,30,1,0,0,0.0,0,1041
CSE-AIML,5,Female,Day Scholar,Morning,Kinesthetic,Average,Medium,Average,No,Yes,Not Started,304,334,0,625,92.0,64.4,7.52,0,34,4,0,0,1.0,401,1267
CSE-AIML,3,Male,Hostel,Night,Auditory,Average,Low,Good,No,Yes,Not Started,220,421,111,0,92.2,72.4,7.35,0,34,1,0,0,1.0,0,1173
ECE,2,Male,Day Scholar,Morning,Auditory,Good,Low,Good,No,Yes,Not Started,123,407,251,0,68.3,66.8,7.2,0,33,1,0,0,0.0,0,1100
IT,4,Female,Hostel,Afternoon,Kinesthetic,Poor,High,Average,Yes,No,Not Started,196,165,124,325,88.6,82.8,7.93,0,41,0,2,1,1.0,77,1164
CSE,7,Male,Hostel,Night,Auditory,Good,Low,,No,Yes,In Progress,242,0,181,530,62.3,76.5,8.39,0,39,3,2,2,5.0,368,748
ECE,6,Male,Hostel,Afternoon,Kinesthetic,Average,Low,Good,Yes,No,Not Started,168,297,33,508,83.6,70.2,6.48,1,31,2,0,5,2.0,330,1109
CSE,8,Male,Hostel,Afternoon,Visual,Poor,High,Good,Yes,No,Placed,344,221,54,77,88.7,81.6,8.91,0,45,6,2,3,7.0,106,1050
CSE-AIML,3,Male,Hostel,Night,Kinesthetic,Good,Low,Average,No,No,Not Started,138,282,13,169,91.6,70.0,7.55,1,33,2,0,1,0.0,69,1459
IT,8,Male,Hostel,Night,Visual,Poor,High,Good,No,Yes,Placed,208,76,217,497,77.9,73.1,6.9,0,36,8,1,4,7.0,409,1282
CSE-AIML,3,Female,Hostel,Night,Kinesthetic,Average,High,Average,No,No,Not Started,229,3,71,287,97.3,70.9,6.77,0,37,2,1,0,2.0,130,1117
CSE,8,Male,Day Scholar,Night,Auditory,Average,Medium,Good,Yes,Yes,Placed,112,0,240,447,76.4,64.2,6.77,0,27,5,2,3,4.0,372,1347
CSE,3,Female,Hostel,Afternoon,Visual,Average,Low,Good,No,No,Not Started,219,322,27,272,79.2,69.8,6.71,0,27,1,1,0,1.0,124,952
CSE-DS,2,Male,Hostel,Morning,Kinesthetic,Average,Low,Good,No,No,Not Started,75,248,172,354,90.0,73.7,7.64,0,40,3,0,0,2.0,140,1230
CSE,5,Female,Hostel,Night,Kinesthetic,Average,Low,Good,Yes,No,Not Started,221,161,211,168,100.0,71.2,7.18,0,34,2,1,0,3.0,31,1100
CSE-AIML,4,Male,Hostel,Night,Visual,Average,Medium,Good,No,No,Not Started,222,378,48,442,94.7,81.6,7.95,1,40,4,1,1,0.0,231,1221
IT,3,Female,Hostel,Night,Auditory,Average,Medium,Good,Yes,No,Not Started,108,106,114,51,94.7,71.2,7.18,0,39,2,1,0,4.0,40,737
CSE-DS,7,Female,Hostel,Afternoon,Auditory,Average,Medium,Good,Yes,No,In Progress,67,64,112,62,75.0,64.5,6.57,0,34,5,2,2,1.0,10,738
CSE,5,Female,Hostel,Night,Auditory,Poor,Low,Average,No,No,Not Started,100,240,290,65,100.0,77.9,7.83,0,38,6,1,0,2.0,16,924
CSE-DS,8,Female,Hostel,Morning,Visual,Poor,Low,Good,No,No,Placed,116,155,123,269,65.3,68.6,6.9,0,31,8,0,2,4.0,219,1014
CSE-DS,8,Female,Day Scholar,Morning,Kinesthetic,Average,Low,Average,No,Yes,Placed,36,195,175,35,76.4,64.9,6.76,0,33,7,2,5,3.0,0,1183
CSE-DS,2,Female,Hostel,Night,Auditory,Average,Medium,Good,No,No,Not Started,176,200,82,22,81.1,72.4,7.43,0,36,0,0,0,,0,966
CSE,8,Female,Hostel,Night,Visual,Average,Medium,Average,No,Yes,Placed,85,336,168,352,84.2,72.4,7.4,0,36,4,2,2,4.0,290,1018
CSE-DS,7,Female,Hostel,Afternoon,Auditory,Average,Low,Average,No,No,In Progress,177,305,87,362,83.6,66.0,7.34,0,32,3,0,3,4.0,176,1147
IT,4,Male,Hostel,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,234,186,84,233,75.7,79.0,8.54,0,40,2,1,1,1.0,34,921
CSE,6,Female,Hostel,Night,Auditory,Poor,Medium,Good,No,No,Not Started,76,271,129,385,65.0,62.9,7.09,0,22,4,1,1,6.0,199,859
IT,4,Female,Hostel,Morning,Visual,Average,Medium,Good,No,Yes,Not Started,87,467,148,142,99.1,80.5,8.62,0,45,2,1,0,2.0,77,1168
CSE,8,Female,Hostel,Night,Kinesthetic,Poor,High,Poor,No,Yes,Placed,75,231,141,171,94.9,71.4,7.39,0,36,5,2,2,8.0,162,1423
CSE-AIML,3,Male,Hostel,Morning,Visual,Poor,Medium,Good,No,Yes,Not Started,217,70,266,220,88.9,81.0,8.06,0,39,2,0,0,4.0,81,1072
IT,5,Female,Hostel,,Auditory,Good,Medium,Good,No,Yes,Not Started,210,233,158,396,74.3,73.0,7.98,0,36,2,2,0,1.0,183,1189
CSE,3,Male,Day Scholar,Afternoon,Visual,Average,High,Average,Yes,No,Not Started,195,309,131,294,99.1,77.4,7.94,0,41,1,2,1,3.0,117,953
ECE,4,Male,Day Scholar,Morning,Kinesthetic,Poor,Medium,Good,No,Yes,Not Started,125,550,144,179,83.5,60.0,5.62,1,31,2,1,1,3.0,17,1252
IT,1,Male,Day Scholar,Morning,Auditory,Good,Low,Average,Yes,Yes,Not Started,290,98,58,276,93.5,78.5,7.43,0,31,1,0,0,1.0,97,928
CSE,6,Male,Day Scholar,Morning,Visual,Poor,Medium,Good,No,Yes,In Progress,180,381,0,269,62.4,65.2,5.66,3,32,10,6,0,6.0,179,1062
CSE-AIML,2,Male,Hostel,Night,Visual,Average,Low,Good,No,Yes,Not Started,231,425,132,475,100.0,83.5,7.68,0,42,1,0,0,0.0,13,822
CSE-AIML,8,Male,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,No,In Progress,265,73,89,546,62.9,70.5,5.8,0,40,4,4,2,10.0,482,1140
IT,8,Female,Day Scholar,Morning,Kinesthetic,Average,Medium,Poor,No,No,In Progress,337,171,156,271,86.1,83.1,8.76,0,44,6,1,3,,162,1272
CSE-DS,4,Male,Day Scholar,Morning,Kinesthetic,Poor,Medium,Good,No,No,Not Started,143,212,171,254,77.2,74.5,6.89,0,41,3,3,1,1.0,85,1220
CSE,7,Female,Hostel,Night,Auditory,Average,Medium,Average,No,No,Placed,192,275,226,547,83.6,66.7,7.17,1,30,2,5,0,4.0,382,1180
CSE,7,Female,Hostel,Morning,Kinesthetic,Poor,High,Good,No,Yes,In Progress,117,282,275,261,82.8,80.9,7.25,1,36,3,4,3,2.0,190,919
CSE,4,Male,Hostel,Morning,Auditory,Good,Medium,Average,No,No,Not Started,98,220,22,406,88.5,70.7,6.4,1,34,2,5,0,2.0,174,980
CSE,7,Male,Hostel,Afternoon,Auditory,Average,Medium,Good,No,No,In Progress,181,366,50,259,77.0,73.1,7.75,0,34,2,1,1,2.0,154,979
CSE-AIML,6,Male,Hostel,Morning,Auditory,Average,Medium,Average,No,Yes,In Progress,74,173,175,406,88.6,60.9,5.83,1,33,8,3,3,5.0,306,1175
CSE,6,Male,Day Scholar,Afternoon,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,155,172,138,447,74.9,62.5,6.26,4,31,1,4,0,2.0,283,1047
IT,3,Male,Day Scholar,Night,Visual,Good,Medium,Good,No,Yes,Not Started,177,198,0,13,87.9,71.3,7.77,0,38,0,1,1,0.0,0,1056
CSE,2,Female,Hostel,Night,Kinesthetic,Poor,Medium,Good,No,No,Not Started,260,200,210,99,87.4,78.3,7.39,1,41,4,0,0,0.0,131,1125
CSE-AIML,5,Female,Day Scholar,Afternoon,Kinesthetic,Poor,High,Average,No,No,Not Started,212,526,113,35,92.3,70.3,7.28,0,29,5,2,1,2.0,122,1143
CSE,2,Female,Hostel,Afternoon,Visual,Poor,Medium,Good,No,Yes,Not Started,194,108,123,399,81.5,73.5,7.32,0,31,2,2,0,0.0,74,1102
CSE,3,Female,Day Scholar,Night,Kinesthetic,Poor,Medium,Good,No,No,Not Started,282,313,18,90,81.9,77.6,7.58,0,39,1,1,0,3.0,36,847
CSE,2,Male,Day Scholar,Night,Kinesthetic,Good,Medium,Poor,No,Yes,Not Started,194,78,180,230,89.2,84.9,9.1,0,37,2,2,0,0.0,22,1028
CSE-AIML,4,Female,Day Scholar,Morning,Kinesthetic,Poor,High,Good,Yes,No,Not Started,113,301,51,326,80.2,77.2,7.85,0,44,2,0,1,5.0,105,1045
CSE-DS,4,Female,Hostel,Night,Kinesthetic,Poor,High,Average,No,No,Not Started,186,358,190,163,93.9,72.2,6.46,2,35,3,1,0,2.0,31,1153
CSE,1,Female,Hostel,Night,Kinesthetic,Poor,High,Good,No,Yes,Not Started,106,0,131,153,99.8,66.0,6.39,1,31,0,0,0,1.0,0,1025
CSE-AIML,2,Male,Hostel,Night,Visual,Average,High,Average,No,Yes,Not Started,93,288,81,200,94.2,72.2,6.41,1,40,1,0,0,0.0,154,1043
CSE-AIML,3,Male,Hostel,Afternoon,Auditory,Average,High,Good,No,Yes,Not Started,100,309,49,550,71.1,60.5,5.49,1,25,2,1,0,3.0,185,992
CSE,5,Female,Day Scholar,Morning,Auditory,Average,Low,Good,No,No,Not Started,309,337,75,268,97.7,81.6,8.93,0,40,5,0,2,1.0,187,894
ECE,2,Female,Day Scholar,Morning,Auditory,Good,Medium,Average,No,No,Not Started,109,176,0,333,73.9,66.4,6.48,5,31,1,0,0,0.0,50,1043
CSE-DS,6,Male,Hostel,Night,Auditory,Average,High,Average,No,No,Not Started,259,45,0,574,69.3,62.3,6.49,3,31,8,2,1,1.0,347,1160
ECE,8,Male,Day Scholar,Night,Visual,Poor,High,Poor,No,Yes,Placed,305,180,196,75,91.7,82.6,9.22,0,44,5,1,2,3.0,19,1026
CSE,5,Male,Hostel,Afternoon,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,263,206,118,267,83.9,71.0,6.75,0,36,3,2,2,3.0,119,1000
CSE-DS,1,Female,Hostel,Night,Visual,Good,Low,Average,No,Yes,Not Started,199,84,208,409,75.6,65.5,7.21,1,32,0,0,0,0.0,0,1072
CSE,2,Male,Day Scholar,Night,Auditory,Average,Low,Average,No,No,Not Started,187,281,24,0,87.9,69.4,6.37,1,35,3,0,0,1.0,2,710
CSE,2,Female,Hostel,Morning,Auditory,Average,Medium,Good,No,Yes,Not Started,126,162,102,100,79.4,62.6,6.35,4,28,1,0,0,0.0,76,1030
CSE,7,Female,Day Scholar,Night,Visual,Poor,Low,Good,No,Yes,In Progress,129,241,153,551,81.1,65.2,6.73,0,34,4,2,3,6.0,356,1375
CSE-AIML,7,Male,Day Scholar,Morning,Kinesthetic,Poor,Medium,Poor,No,No,Placed,257,110,158,458,87.8,78.2,8.64,0,42,7,2,2,7.0,228,1156
CSE,1,Female,Hostel,Afternoon,Visual,Average,Medium,Poor,No,Yes,Not Started,134,211,78,219,87.2,76.2,7.62,0,34,1,0,0,0.0,0,927
CSE-AIML,6,Female,Day Scholar,Night,Visual,Good,Low,Average,No,No,Not Started,233,213,172,181,90.5,80.2,8.64,0,39,9,1,1,2.0,104,1140
CSE-DS,7,Male,Hostel,Morning,Kinesthetic,Average,Medium,Good,No,Yes,Placed,211,103,88,370,64.1,68.2,6.98,0,32,6,1,3,3.0,249,1036
CSE,4,Female,Hostel,Night,Visual,Good,Medium,Average,Yes,No,Not Started,42,289,313,278,100.0,70.8,7.15,1,38,3,3,2,4.0,0,1049
CSE,2,Female,Hostel,,Auditory,Poor,Medium,Good,No,No,Not Started,168,278,164,453,100.0,85.2,8.89,0,41,3,0,0,2.0,66,1024
CSE-AIML,2,Female,Hostel,Morning,Visual,Average,Medium,Good,No,Yes,Not Started,274,219,108,160,83.0,67.9,7.01,0,29,2,1,0,1.0,56,1282
CSE,7,Male,Hostel,Night,Kinesthetic,Average,Low,Good,No,No,In Progress,194,124,182,157,70.3,65.0,6.52,0,31,8,4,0,2.0,105,1262
CSE,1,Male,Day Scholar,Morning,Kinesthetic,Poor,Low,Good,No,No,Not Started,163,231,148,266,97.3,76.6,6.73,1,41,2,0,0,1.0,9,937
ECE,5,Male,Hostel,,Auditory,Average,Low,Poor,No,Yes,Not Started,238,331,226,302,94.0,73.2,6.47,3,34,7,1,0,3.0,193,962
CSE-DS,2,Female,Day Scholar,Night,Kinesthetic,Average,Medium,Poor,No,No,Not Started,65,370,0,510,97.0,69.3,6.68,0,34,0,0,0,2.0,26,1028
IT,1,Male,Day Scholar,Night,Visual,Poor,Medium,Good,No,Yes,Not Started,157,330,25,265,82.2,68.1,6.26,1,31,0,0,0,0.0,89,868
ECE,7,Female,Hostel,Night,Kinesthetic,Poor,Medium,Good,No,No,Placed,336,0,86,146,72.1,67.1,6.96,0,30,6,2,4,6.0,35,1236
ECE,8,Female,Hostel,Morning,Visual,Good,Low,Poor,No,Yes,Placed,26,372,82,49,75.9,65.9,6.32,4,31,4,3,2,2.0,0,999
CSE,4,Female,Hostel,Night,Kinesthetic,Average,Medium,Good,Yes,Yes,Not Started,139,153,115,223,87.2,73.8,7.47,0,38,1,3,1,3.0,66,919
IT,2,Male,Hostel,Morning,Auditory,Average,Medium,Good,No,Yes,Not Started,0,142,262,788,67.6,67.0,5.54,3,33,2,0,0,2.0,175,1215
ECE,5,Male,Hostel,Night,Kinesthetic,Good,Medium,Good,No,No,Not Started,263,261,24,430,96.6,77.8,8.27,0,35,6,3,0,0.0,264,1217
CSE-DS,1,Female,Hostel,Afternoon,Auditory,Poor,High,Good,No,No,Not Started,135,185,117,0,72.4,65.5,6.15,3,37,2,2,0,0.0,0,878
CSE,1,Male,Day Scholar,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,145,311,0,274,86.4,72.8,6.92,0,38,1,0,0,1.0,11,832
CSE,4,Male,Hostel,Afternoon,Visual,Poor,High,Average,Yes,No,Not Started,157,173,193,537,74.5,62.1,6.85,1,33,6,1,1,3.0,144,985
CSE,3,Male,Hostel,Afternoon,Kinesthetic,Average,Medium,Poor,No,Yes,Not Started,0,271,297,462,100.0,73.0,7.12,0,35,0,0,0,0.0,86,906
ECE,4,Male,Hostel,Morning,Kinesthetic,Average,Medium,Poor,No,No,Not Started,0,195,66,616,87.3,70.3,6.56,0,32,3,1,1,1.0,224,1260
ECE,2,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,131,87,74,1,100.0,73.1,6.94,0,32,2,0,0,1.0,34,1136
CSE,2,Male,Hostel,Morning,Visual,Good,Low,Good,No,No,Not Started,264,174,138,523,99.5,79.0,8.02,0,41,2,0,0,1.0,149,1062
CSE,4,Female,Hostel,Afternoon,Auditory,Good,Low,Good,No,Yes,Not Started,438,3,147,30,82.8,88.2,9.55,0,48,2,1,1,3.0,46,979
CSE,5,Female,Hostel,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,253,310,233,299,67.4,57.6,6.33,4,28,5,1,1,3.0,102,1120
CSE-DS,7,Male,Day Scholar,Night,Kinesthetic,Average,Low,Good,No,No,Placed,300,142,165,361,72.6,75.3,7.59,1,34,7,3,2,3.0,326,1216
CSE-AIML,2,Male,Hostel,Morning,Visual,Average,Medium,Good,No,Yes,Not Started,196,271,168,0,48.6,67.7,6.78,0,40,1,1,0,0.0,60,1251
CSE-DS,4,Male,Day Scholar,Morning,Kinesthetic,Average,Medium,Average,No,Yes,Not Started,0,409,27,165,92.3,77.5,7.91,0,37,8,2,1,4.0,146,1075
ECE,6,Female,Day Scholar,Morning,Kinesthetic,Good,High,Good,No,No,In Progress,301,210,129,71,52.9,61.1,5.75,4,28,8,2,2,1.0,0,1098
ECE,7,Male,Hostel,Night,Auditory,Average,Low,,No,No,Placed,192,289,292,216,91.6,80.6,7.57,1,39,4,4,0,1.0,152,1145
CSE-DS,8,Male,Hostel,Night,Visual,Average,Low,Average,No,Yes,Placed,161,154,12,319,95.3,81.0,8.22,0,40,8,2,3,3.0,205,1016
CSE-DS,4,Male,Hostel,Night,Visual,Average,Low,Good,No,Yes,Not Started,129,81,64,180,80.7,69.6,6.15,4,29,2,1,0,3.0,60,971
CSE,7,Female,Hostel,Night,Kinesthetic,Average,Medium,Good,Yes,Yes,In Progress,72,347,0,253,79.3,62.5,7.01,0,30,4,1,2,2.0,175,1233
ECE,7,Female,Hostel,Night,Visual,Average,Medium,Good,No,No,In Progress,123,108,89,199,85.6,72.8,6.91,0,36,6,2,1,2.0,98,983
IT,2,Male,Day Scholar,Morning,Auditory,Average,Medium,Good,No,Yes,Not Started,138,137,152,295,89.8,67.3,6.6,1,30,2,0,0,0.0,61,866
IT,3,Male,Hostel,Morning,Kinesthetic,Good,Medium,Good,No,Yes,Not Started,228,314,124,524,85.1,73.9,7.89,0,30,2,2,1,1.0,84,994
CSE-AIML,2,Female,Hostel,Night,Auditory,Poor,Medium,Good,No,No,Not Started,271,164,0,33,80.8,79.0,8.07,0,44,1,1,0,1.0,25,1203
CSE,3,Male,Hostel,Night,Kinesthetic,Good,High,Average,No,No,Not Started,132,135,126,0,75.1,68.7,8.01,0,28,2,2,0,0.0,57,1162
IT,1,Male,Hostel,Night,Visual,Average,Medium,Good,No,No,Not Started,292,212,328,87,100.0,77.4,6.36,0,41,0,1,0,0.0,0,927
CSE,3,Male,Hostel,Morning,Kinesthetic,Average,Medium,Poor,No,No,Not Started,151,159,204,328,51.2,57.5,7.14,1,30,2,0,0,3.0,139,1124
CSE,3,Male,Hostel,Night,Visual,Good,Low,Good,No,Yes,Not Started,109,110,0,480,82.4,73.7,7.41,0,37,2,0,0,2.0,134,1105
CSE,1,Male,Day Scholar,Afternoon,Visual,Average,Medium,Good,No,No,Not Started,309,287,310,82,82.7,74.8,7.48,0,36,0,0,0,1.0,0,842
CSE-AIML,5,Female,Day Scholar,Night,Visual,Average,Medium,Good,No,No,Not Started,237,186,0,424,88.8,84.3,8.11,0,43,4,0,1,5.0,235,1343
CSE,1,Male,Day Scholar,Morning,Kinesthetic,Average,Medium,Good,No,No,Not Started,315,254,217,391,81.8,73.5,6.45,0,37,0,2,0,0.0,29,822
CSE,8,Male,Hostel,Afternoon,Auditory,Good,High,Good,No,Yes,Placed,316,276,228,0,74.9,70.3,6.42,3,36,8,1,2,3.0,0,1186
IT,6,Female,Day Scholar,Morning,Auditory,Poor,High,Average,No,No,In Progress,164,231,126,505,66.5,69.2,6.56,0,31,3,2,0,6.0,224,1151
CSE,6,Female,Day Scholar,Night,Visual,Good,Low,Good,No,Yes,Not Started,45,158,85,145,90.1,66.9,6.72,0,37,1,0,0,3.0,0,1054
CSE-DS,1,Female,Day Scholar,Night,Auditory,Average,Medium,Average,No,Yes,Not Started,424,300,56,460,55.0,57.9,5.95,2,27,0,0,0,2.0,16,1239
IT,4,Female,Hostel,Morning,Auditory,Poor,Medium,Poor,No,No,Not Started,177,87,293,359,69.1,67.8,6.61,0,35,4,2,0,2.0,72,1137
CSE,3,Male,Hostel,Night,Auditory,Good,Low,Good,No,Yes,Not Started,307,369,0,87,81.9,72.5,7.07,2,37,2,0,0,1.0,151,1079
ECE,6,Male,Hostel,Night,Auditory,Poor,High,Good,No,No,Not Started,90,301,182,788,91.0,70.9,6.88,0,40,3,0,0,7.0,484,1119
CSE,7,Male,Hostel,Morning,Visual,Average,Medium,Average,No,No,In Progress,154,291,113,272,98.6,80.7,8.19,0,41,4,1,1,5.0,113,1278
IT,3,Male,Hostel,Morning,Kinesthetic,Average,Medium,Average,Yes,No,Not Started,261,307,171,271,69.0,70.3,7.9,2,34,2,0,0,1.0,0,966
CSE,8,Male,Hostel,Night,Auditory,Average,Low,Good,No,No,Placed,78,240,0,449,84.3,66.4,7.17,0,32,5,2,1,4.0,329,991
IT,8,Male,Day Scholar,Morning,Kinesthetic,Good,Medium,Poor,No,No,In Progress,228,350,168,422,78.3,80.0,7.95,0,39,4,0,2,4.0,308,1300
ECE,3,Male,Hostel,Night,Kinesthetic,Good,Low,Average,No,No,Not Started,259,330,82,254,80.6,75.0,6.22,3,38,2,0,0,1.0,115,1382
CSE-AIML,2,Male,Day Scholar,Night,Visual,Average,Medium,Average,No,No,Not Started,310,87,83,171,77.5,71.7,7.07,0,39,2,0,0,2.0,76,786
IT,6,Male,Day Scholar,Afternoon,Kinesthetic,Poor,High,Good,No,No,In Progress,138,49,36,154,82.8,71.2,7.45,1,35,4,3,0,3.0,94,1001
CSE,8,Male,Hostel,Morning,Auditory,Poor,High,Good,No,No,Placed,177,185,159,266,94.5,74.8,7.56,0,38,5,1,2,5.0,207,996
CSE,1,Female,Hostel,Night,Kinesthetic,Good,Low,Average,Yes,Yes,Not Started,165,500,8,184,94.8,69.2,6.98,0,32,0,1,0,1.0,138,1040
CSE-AIML,6,Male,Hostel,Morning,Visual,Good,Low,Average,No,Yes,Not Started,45,62,59,479,92.9,70.5,6.69,0,30,4,0,0,0.0,264,1224
IT,3,Female,Day Scholar,,Kinesthetic,Average,Medium,,No,No,Not Started,266,230,250,411,88.5,63.9,6.53,0,31,4,0,0,5.0,255,1228
CSE,2,Female,Day Scholar,Morning,Visual,Good,Low,Good,Yes,No,Not Started,157,411,201,277,88.5,64.0,5.73,1,29,1,1,0,2.0,0,1225
CSE,2,Female,Day Scholar,Night,Visual,Poor,Medium,Average,No,No,Not Started,199,183,169,399,78.6,74.6,7.68,2,40,0,0,0,3.0,49,1060
CSE-DS,3,Female,Hostel,Night,Visual,Average,Medium,Average,No,Yes,Not Started,169,323,115,348,77.8,73.3,7.46,0,43,3,0,0,2.0,156,1147
CSE,4,Female,Hostel,Night,Visual,Average,Low,,No,No,Not Started,157,383,147,459,64.0,62.4,6.19,1,32,2,0,0,3.0,168,1110
CSE,5,Male,Hostel,Morning,Visual,Average,High,Average,No,No,Not Started,333,271,142,504,66.3,74.5,7.42,0,36,7,1,1,2.0,212,1100
IT,6,Female,Hostel,Afternoon,Kinesthetic,Poor,High,Good,No,Yes,In Progress,0,390,0,387,71.3,62.9,7.82,0,31,6,2,1,4.0,199,1108
ECE,8,Male,Hostel,Night,Auditory,Good,Medium,Good,No,No,Placed,193,368,0,118,86.0,69.8,6.75,1,33,9,0,4,5.0,148,1200
ECE,2,Male,Hostel,Morning,Kinesthetic,Average,Medium,Average,Yes,No,Not Started,178,183,235,287,100.0,79.7,7.91,0,39,1,0,0,1.0,69,1125
CSE,7,Female,Hostel,Night,Visual,Average,Medium,Good,No,No,In Progress,138,219,119,152,79.6,61.0,5.96,3,28,8,2,1,4.0,110,866
IT,7,Female,Hostel,Night,Visual,Average,Medium,Poor,No,Yes,Placed,341,116,3,226,91.3,75.3,7.33,0,37,5,1,5,2.0,151,1447
CSE-DS,1,Female,Day Scholar,Night,Kinesthetic,Average,High,Good,No,No,Not Started,206,228,0,450,94.5,70.8,7.26,0,29,0,0,0,0.0,14,1041
CSE-AIML,5,Male,Day Scholar,Night,Auditory,Average,Medium,Good,Yes,No,Not Started,97,288,219,365,73.5,75.9,7.25,0,34,4,2,0,2.0,226,1416
CSE,6,Female,Hostel,Morning,Visual,Average,Medium,Good,Yes,Yes,Not Started,91,364,0,102,79.2,61.9,6.43,5,25,5,2,3,4.0,65,1095
ECE,1,Female,Hostel,Morning,Auditory,Average,Medium,Good,No,No,Not Started,112,454,102,251,72.6,75.3,8.04,0,38,0,1,0,1.0,54,1210
CSE-AIML,1,Male,Day Scholar,Afternoon,Kinesthetic,Poor,Low,Poor,No,No,Not Started,313,182,124,256,79.8,76.9,7.76,0,42,2,0,0,0.0,44,1073
CSE-AIML,5,Female,Hostel,Afternoon,Auditory,Average,Medium,Average,No,No,Not Started,160,8,80,148,87.5,70.6,6.78,0,35,10,3,1,4.0,65,888
CSE-AIML,1,Male,Day Scholar,Night,Kinesthetic,Good,Medium,Good,No,No,Not Started,178,196,163,278,74.4,75.0,7.03,0,40,0,0,0,0.0,0,872
CSE,6,Female,Day Scholar,Night,Visual,Average,High,Average,No,No,Not Started,0,354,135,310,99.8,67.3,6.96,0,34,2,4,1,4.0,191,937
CSE,1,Male,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,41,311,93,50,72.9,67.5,6.66,0,38,1,1,0,1.0,30,989
CSE-DS,7,Male,Hostel,Night,Visual,Good,Medium,Good,No,No,In Progress,290,401,183,113,77.0,60.3,6.18,4,33,7,1,2,6.0,0,913
IT,4,Male,Day Scholar,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,48,402,336,476,82.1,70.0,6.33,2,35,2,1,1,,205,1073
CSE-DS,6,Male,Hostel,Morning,Auditory,Good,Low,Poor,No,Yes,Not Started,259,389,5,768,79.8,71.7,7.62,0,32,8,3,0,2.0,488,1255
CSE-AIML,8,Male,Day Scholar,Afternoon,Auditory,Good,Low,Poor,No,Yes,Placed,435,364,122,313,92.5,82.0,8.94,0,46,9,4,4,8.0,285,1230
IT,7,Male,Day Scholar,Night,Visual,Poor,Medium,Poor,No,Yes,In Progress,184,193,82,84,80.3,66.9,6.66,0,35,8,3,1,6.0,75,845
CSE,7,Female,Day Scholar,Afternoon,Kinesthetic,Poor,High,Poor,No,Yes,In Progress,297,63,67,240,75.5,65.3,6.47,1,38,3,1,1,3.0,211,1279
CSE-AIML,6,Male,Hostel,Morning,Visual,Average,Medium,Average,No,Yes,Not Started,142,263,34,299,88.2,60.5,6.55,0,31,5,4,1,2.0,227,1131
CSE,4,Female,Day Scholar,Afternoon,Auditory,Average,Medium,,No,No,Not Started,281,309,106,323,71.9,66.6,7.22,0,31,3,1,1,3.0,161,1088
CSE-AIML,1,Male,Day Scholar,Afternoon,Auditory,Average,Medium,Good,Yes,Yes,Not Started,262,125,0,412,94.3,71.9,6.91,0,32,0,0,0,0.0,70,885
CSE,6,Male,Hostel,Night,Visual,Average,Medium,Good,No,No,Not Started,162,191,127,355,67.1,63.0,6.08,3,32,6,1,2,1.0,145,833
CSE,2,Female,Day Scholar,Morning,Visual,Average,Medium,Good,No,Yes,Not Started,130,329,235,242,81.6,64.7,6.75,2,36,1,1,0,3.0,85,1244
CSE,7,Female,Hostel,Night,Kinesthetic,Good,Medium,Good,No,Yes,Placed,285,388,97,408,100.0,76.0,7.01,2,39,6,1,1,1.0,290,946
CSE,4,Female,Day Scholar,Night,Auditory,Good,Medium,Good,No,No,Not Started,294,200,13,532,70.8,78.6,8.74,0,40,3,4,0,2.0,235,1374
CSE,1,Female,Day Scholar,Morning,Auditory,Poor,Medium,Good,No,No,Not Started,227,0,182,116,81.7,73.8,7.75,1,37,0,0,0,0.0,0,879
CSE,4,Other,Hostel,,Auditory,Average,Medium,Good,Yes,No,Not Started,196,223,240,79,76.9,68.6,7.2,0,35,2,1,0,1.0,23,1053
CSE-AIML,7,Female,Day Scholar,Night,Visual,Average,Medium,Average,No,Yes,Placed,224,290,65,245,85.1,73.3,6.79,1,29,6,3,2,3.0,181,974
CSE,6,Male,Hostel,Afternoon,Visual,Poor,Medium,Good,No,Yes,Not Started,217,342,94,142,74.7,61.7,6.33,0,35,4,0,1,2.0,122,1171
CSE,1,Male,Day Scholar,Morning,Visual,Average,Low,Good,No,No,Not Started,254,358,0,172,66.8,67.8,7.14,0,36,1,1,0,0.0,0,1020
